=== Circuit Statistics ===
Circuits: 730
Total width: 33331
Total FFT cost: 135187270227 (1.35e11)
Total cache hits: 72393508
Total saved cost: 57.23%
----------------------------------------------------------------------------------------------------------------------------------------------
Name                                                                               Width Sel Aux Lkp  Height     Hits FFT cost       %     %++
----------------------------------------------------------------------------------------------------------------------------------------------
build_motive_apps                                                                     23   2   5   4     172        0   1.53e5   0.00%  99.99%
flat_originals_walk                                                                  100   5  68   9      52        0   1.50e5   0.00%  99.99%
memory[10]                                                                            19   0   0   0     195   108527   1.48e5   0.00%  99.99%
put_tag0                                                                              32   3   6   5     127       25   1.47e5   0.00%  99.99%
memory[36]                                                                            45   0   0   0      95      375   1.44e5   0.00%  99.99%
relaxed_u64_succ                                                                      25   9   2   1     150      547   1.41e5   0.00%  99.99%
memory[47]                                                                            56   0   0   0      78     1009   1.40e5   0.00%  99.99%
try_nat_binop_addr                                                                   128  15  44  31      40        2   1.38e5   0.00%  99.99%
put_tag4                                                                              33   3   6   5     114        0   1.33e5   0.00% 100.00%
load_verified_blob                                                                    46   1  36   3      85      739   1.28e5   0.00% 100.00%
convert_inductive                                                                     50   1   6   6      79        0   1.27e5   0.00% 100.00%
Bytes1                                                                                11   0   0   0     256        0   1.22e5   0.00% 100.00%
check_ctor_return_type                                                                37   1  13  12      94       92   1.17e5   0.00% 100.00%
is_rec_field_peel                                                                     40   3  16   7      87        0   1.15e5   0.00% 100.00%
validate_univ_params_seen                                                             43   5  16   8      81      521   1.13e5   0.00% 100.00%
apply_ihs_full                                                                       100   2  30  26      41        0   1.11e5   0.00% 100.00%
whnf_get_ctor_or_none                                                                 26   2   9   5     119    56302   1.11e5   0.00% 100.00%
addr_list_contains                                                                    24   3   7   4     126       41   1.10e5   0.00% 100.00%
check_field_universes_skip_params                                                     25   2   7   4     120        0   1.08e5   0.00% 100.00%
get_result_sort_level                                                                 28   2   9   5     105      187   1.02e5   0.00% 100.00%
io_peel_field_loop                                                                    30   2   9   5      98       18   1.01e5   0.00% 100.00%
build_minor_doms                                                                      54   2  19   7      61        0   9.99e4   0.00% 100.00%
memory[8]                                                                             17   0   0   0     151    44897   9.83e4   0.00% 100.00%
build_flat_block                                                                     159   7 121  12      26        0   9.81e4   0.00% 100.00%
get_recursor_rule_list                                                                53   2  24   7      61        0   9.81e4   0.00% 100.00%
mk_nat_offset_stuck                                                                   37   2  10   9      81        0   9.79e4   0.00% 100.00%
nl_subsumption_walk                                                                   25   2   7   5     110       41   9.72e4   0.00% 100.00%
populate_rules                                                                        52   3  18   6      61        0   9.63e4   0.00% 100.00%
get_constructor_proj                                                                  31   1  21   4      90        0   9.38e4   0.00% 100.00%
is_muts_block                                                                         61   2  50   2      52       78   9.23e4   0.00% 100.00%
nl_eq                                                                                 51   7  18  10      58       51   8.87e4   0.00% 100.00%
flat_find_matching                                                                    39   5  15   5      70        8   8.62e4   0.00% 100.00%
bytes_to_limbs                                                                        57   5  29   9      51      711   8.43e4   0.00% 100.00%
build_all_minors_walk                                                                 55   3  24   8      52        0   8.34e4   0.00% 100.00%
list_any_mentions_block                                                               24   3   7   4      95       24   7.83e4   0.00% 100.00%
check_recursor_canonical_full                                                        125   9  50  18      26        0   7.73e4   0.00% 100.00%
list_reverse_acc.G                                                                    22   2   6   4      99        0   7.58e4   0.00% 100.00%
convert_rec_rules                                                                     40   2  16   6      61        0   7.46e4   0.00% 100.00%
build_apply_field_bvars                                                               23   2   5   4      94       28   7.42e4   0.00% 100.00%
check_field_universes                                                                 23   2   6   4      94       92   7.42e4   0.00% 100.00%
assert_first_args_are_param_bvars                                                     27   2   9   4      81       65   7.22e4   0.00% 100.00%
assert_return_head_is_parent                                                          27   1  15   4      78       16   6.90e4   0.00% 100.00%
level_list_eq                                                                         31   5  10   5      69    21987   6.78e4   0.00% 100.00%
check_positivity                                                                      20   1   5   5      94       92   6.50e4   0.00% 100.00%
level_equal                                                                           23   2   5   5      83     1315   6.38e4   0.00% 100.00%
build_ih_doms                                                                         78   2  24  20      32        9   6.36e4   0.00% 100.00%
k_infer_lit                                                                           20   2   4   4      88        0   6.00e4   0.00% 100.00%
u64_sub_with_borrow                                                                   53   1  16  16      41        1   5.97e4   0.00% 100.00%
build_minor_at_depth                                                                  65   1  25  21      35        0   5.96e4   0.00% 100.00%
klimbs_mul_single                                                                     86   3  47   7      28        0   5.89e4   0.00% 100.00%
build_rec_type_from                                                                   93   3  29  23      26        0   5.78e4   0.00% 100.00%
get_inductive_proj                                                                    22   1  12   3      79        0   5.76e4   0.00% 100.00%
put_definition_proj                                                                   22   1   3   3      79        0   5.76e4   0.00% 100.00%
nl_covers_var                                                                         35   4  11   6      54        1   5.63e4   0.00% 100.00%
level_normalize                                                                       25   1   9   9      68       94   5.42e4   0.00% 100.00%
get_recursor                                                                          87   1  69  11      26        0   5.41e4   0.00% 100.00%
u64_mul                                                                              222   1 155  46      13        0   5.39e4   0.00% 100.00%
lazy_delta_b_const_a_proj                                                             55   6  24   8      36        0   5.25e4   0.00% 100.00%
check_inductive_shape                                                                 19   1   3   4      79       26   5.02e4   0.00% 100.00%
level_reduce                                                                          27   5   7   5      57      214   4.69e4   0.00% 100.00%
skip_bytes                                                                            21   3   6   3      69       47   4.67e4   0.00% 100.00%
check_param_agreement                                                                 14   1   2   3      94       92   4.65e4   0.00% 100.00%
nl_skip_empty                                                                         30   4  11   5      52       69   4.63e4   0.00% 100.00%
build_apply_xs                                                                        22   2   5   4      66       17   4.63e4   0.00% 100.00%
count_foralls_body                                                                    20   2   6   3      71        4   4.62e4   0.00% 100.00%
klimbs_sub_borrow                                                                     69   6  42   7      27       20   4.53e4   0.00% 100.00%
check_recursor_member                                                                 72   3  24  14      26        0   4.49e4   0.00% 100.00%
