program,function,names,circuit,circuit_name,circuit_members,function_main_width,circuit_main_width,canonical_seed_words,canonical_seed_bytes,guarded_u8_seed_bytes_estimate,function_expansion_canonical,circuit_expansion_canonical,static_operation_sites,static_external_read_sites,preparation_arithmetic_sites,row_operation_sites,real_rows
ixvm,569,canon_build_ctx_classes,87,ixvm_group_62,10,15,56,13,104,24,1.153846,4.307692,10,5,5,5,
ixvm,570,canon_build_ctx_members,77,ixvm_group_52,9,32,89,16,128,24,2.000000,5.562500,14,8,4,9,
ixvm,571,canon_ctor_ctx_entries,18,ixvm_group_10,16,12,63,9,72,16,1.333333,7.000000,11,4,7,5,
ixvm,573,canon_sort_loop,20,ixvm_group_12,16,15,106,10,80,24,1.500000,10.600000,8,5,1,5,
ixvm,574,canon_refine_classes,21,ixvm_group_13,15,12,58,10,80,24,1.200000,5.800000,7,5,2,5,
ixvm,575,canon_refine_one,18,ixvm_group_10,16,12,63,7,56,16,1.714286,9.000000,11,6,5,6,
ixvm,576,canon_ins_sort,18,ixvm_group_10,16,11,63,9,72,16,1.222222,7.000000,6,4,2,4,
ixvm,577,canon_insert_sorted,77,ixvm_group_52,9,40,89,36,288,48,1.111111,2.472222,14,9,5,9,
ixvm,578,canon_group_consec,21,ixvm_group_13,15,12,58,10,80,24,1.200000,5.800000,10,5,5,5,
ixvm,579,canon_group_walk,24,ixvm_group_16,16,43,114,39,312,48,1.102564,2.923077,19,12,7,12,
ixvm,580,canon_classes_eq,87,ixvm_group_62,10,17,56,11,88,24,1.545455,5.090909,9,5,0,5,
ixvm,581,canon_flatten,18,ixvm_group_10,16,9,63,7,56,16,1.285714,9.000000,6,4,2,4,
ixvm,582,canon_all_singleton,18,ixvm_group_10,16,10,63,7,56,16,1.428571,9.000000,5,3,0,3,
ixvm,583,canon_indc_positions,27,ixvm_group_19,12,55,103,52,416,64,1.057692,1.980769,9,4,5,4,
ixvm,584,canon_muts_has_kind,9,ixvm_group_06,8,59,79,51,408,64,1.156863,1.549020,7,2,3,5,
ixvm,585,check_canonical_block,1,ixvm_group_01,11,79,122,62,496,72,1.274194,1.967742,30,13,10,16,
ixvm,586,is_unsafe_ci,48,ixvm_group_30,11,23,52,13,104,24,1.769231,4.000000,4,0,0,0,
ixvm,587,safe_refs_only,166,safe_refs_only,1,29,29,20,160,32,1.450000,1.450000,24,14,0,19,
ixvm,588,assert_safety,103,ixvm_group_72,3,7,12,4,32,16,1.750000,3.000000,3,1,0,1,
ixvm,589,validate_univ_params_seen,73,ixvm_group_48,5,23,38,6,48,16,3.833333,6.333333,9,1,0,2,
ixvm,590,validate_univ_params_list,72,ixvm_group_47,12,8,54,6,48,16,1.333333,9.000000,3,1,0,1,
ixvm,591,validate_expr_well_scoped,167,validate_expr_well_scoped,1,32,32,23,184,32,1.391304,1.391304,27,5,0,6,
ixvm,592,quot_type_addr,5,ixvm_group_02,12,3,50,2,16,16,1.500000,25.000000,33,1,32,1,
ixvm,593,eq_type_addr,69,ixvm_group_44,16,3,18,2,16,16,1.500000,9.000000,33,1,32,1,
